itemID,Server,regularSaleVelocity,nqSalesVelocity,HQSalesVelocity,Price,Quantity,HQ,buyerName,Timestamp
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Natsumi Shimizu,"06/20/2022,10:22:43"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Natsumi Shimizu,"06/20/2022,10:22:41"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Vuniz Bosco,"06/20/2022,05:38:13"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Ultra Shadow,"06/20/2022,02:05:05"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Enjou Azuma,"06/20/2022,01:26:17"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Enjou Azuma,"06/20/2022,01:26:16"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Enjou Azuma,"06/20/2022,01:26:15"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Yves'zos Solus,"06/20/2022,00:20:28"
36074,Balmung,23,0.42857143,22.571428,2449,20,True,Ivude Kadmus,"06/20/2022,00:03:06"
36074,Balmung,23,0.42857143,22.571428,2281,33,True,Sarah Scarlett,"06/19/2022,23:31:20"
36074,Balmung,23,0.42857143,22.571428,2281,33,True,Sarah Scarlett,"06/19/2022,23:31:19"
36074,Balmung,23,0.42857143,22.571428,2281,33,True,Sarah Scarlett,"06/19/2022,23:31:17"
36074,Balmung,23,0.42857143,22.571428,2280,1,True,Sarah Scarlett,"06/19/2022,23:31:15"
36074,Balmung,23,0.42857143,22.571428,2280,10,True,Sarah Scarlett,"06/19/2022,23:31:14"
36074,Balmung,23,0.42857143,22.571428,2280,10,True,Sarah Scarlett,"06/19/2022,23:31:13"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Sarah Scarlett,"06/19/2022,23:31:12"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Sarah Scarlett,"06/19/2022,23:31:10"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Sarah Scarlett,"06/19/2022,23:31:09"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Sarah Scarlett,"06/19/2022,23:31:07"
36074,Balmung,23,0.42857143,22.571428,2280,19,True,Vespyr Shale,"06/19/2022,20:55:01"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Vespyr Shale,"06/19/2022,20:54:59"
36074,Balmung,23,0.42857143,22.571428,2280,20,True,Vespyr Shale,"06/19/2022,20:54:57"
